product_name,category,brand,style,color,price,room_type,product_url,image_url,Date
Article Munk Dining Chair White Oak Ivory Boucle,Chair,Article,"Modern, Scandinavian","Ivory, White, Oak",249,Dining Room,https://www.article.com/product/23398/munk-dining-chair-white-oak-and-ivory-wool-boucle,https://cdn-images.article.com/products/SKU23398/2890x1500/image212115.jpg?fit=max&w=1200&q=100,
Article Nera King Bed with Nightstands Walnut,Bed,Article,"Mid-Century, Modern","Walnut, Brown",1999,Bedroom,https://www.article.com/product/24268/nera-king-low-profile-bed-with-nightstands-set-walnut,https://cdn-images.article.com/products/SKU12863/2890x1500/image223321.jpg?fit=max&w=1200&q=100,
Article Nera King Bed with Nightstands Oak,Bed,Article,"Mid-Century, Scandinavian","Oak, Natural",1999,Bedroom,https://www.article.com/product/25333/nera-king-low-profile-bed-with-nightstands-set-oak,https://cdn-images.article.com/products/SKU14833/2890x1500/image223353.jpg?fit=max&w=1200&q=100,
Article Nera Queen Bed with Nightstands Walnut,Bed,Article,"Mid-Century, Modern","Walnut, Brown",1799,Bedroom,https://www.article.com/product/24435/nera-queen-low-profile-bed-with-nightstands-set-walnut,https://cdn-images.article.com/products/SKU12862/2890x1500/image223473.jpg?fit=max&w=1200&q=100,
Article Nera Queen Bed with Nightstands Oak,Bed,Article,"Mid-Century, Scandinavian","Oak, Natural",1799,Bedroom,https://www.article.com/product/25334/nera-queen-low-profile-bed-with-nightstands-set-oak,https://cdn-images.article.com/products/SKU14832/2890x1500/image223441.jpg?fit=max&w=1200&q=100,
Article Nera California King Bed Walnut,Bed,Article,"Mid-Century, Modern","Walnut, Brown",2099,Bedroom,https://www.article.com/product/18185/nera-california-king-low-profile-bed-with-nightstands-set-walnut,https://cdn-images.article.com/products/SKU18185/2890x1500/image171219.jpg?fit=max&w=1200&q=100,
Article Cassie Queen Upholstered Bed Oak Ivory,Bed,Article,"Modern, Minimalist","Ivory, Oak",1599,Bedroom,https://www.article.com/product/28501/cassie-queen-upholstered-bed-with-nightstands-natural-oak-and-ivory-chenille,https://cdn-images.article.com/products/SKU23406/2890x1500/image218003.jpg?fit=max&w=1200&q=100,
Article Cassie King Upholstered Bed Oak Ivory,Bed,Article,"Modern, Minimalist","Ivory, Oak",1799,Bedroom,https://www.article.com/product/23405/cassie-king-upholstered-bed-with-nightstands-oak-and-ivory-chenille,https://cdn-images.article.com/products/SKU23405/2890x1500/image217307.jpg?fit=max&w=1200&q=100,
Article Leif Queen Storage Bed Smoked Oak,Bed,Article,"Modern, Scandinavian","Smoked Oak, Brown",1899,Bedroom,https://www.article.com/product/26234/leif-queen-storage-bed-with-nightstands-set-smoked-oak,https://cdn-images.article.com/products/SKU26234/2890x1500/image169774.jpg?fit=max&w=1200&q=100,
Article Nera 1-Drawer Nightstand Oak,Storage,Article,"Mid-Century, Scandinavian","Oak, Natural",349,Bedroom,https://www.article.com/product/25362/nera-1-drawer-nightstand-oak,https://cdn-images.article.com/products/SKU16403/2890x1500/image118385.jpg?fit=max&w=1200&q=100,
Article Nera 1-Drawer Nightstand Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",349,Bedroom,https://www.article.com/product/24409/nera-1-drawer-nightstand-walnut,https://cdn-images.article.com/products/SKU16402/2890x1500/image168516.jpg?fit=max&w=1200&q=100,
Article Newberry Narrow Shelf Walnut,Storage,Article,"Industrial, Modern","Walnut, Gunmetal",499,Living Room,https://www.article.com/product/18771/newberry-19-5-shelving-unit-narrow-walnut,https://cdn-images.article.com/products/SKU18771/2890x1500/image122939.jpg?fit=max&w=1200&q=100,
Article Newberry Wide Bookcase Walnut,Storage,Article,"Industrial, Modern","Walnut, Gunmetal",699,Living Room,https://www.article.com/product/18769/newberry-31-25-wide-bookcase-walnut,https://cdn-images.article.com/products/SKU18769/2890x1500/image218038.jpg?fit=max&w=1200&q=100,
Article Krossa Tall Shelving Unit White Oak,Storage,Article,"Mid-Century, Scandinavian","White Oak, Natural",799,Living Room,https://www.article.com/product/24865/krossa-32-5-shelving-unit-tall-white-oak,https://cdn-images.article.com/products/SKU24865/2890x1500/image160006.jpg?fit=max&w=1200&q=100,
Article Krossa Tall Shelving Unit Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",799,Living Room,https://www.article.com/product/24862/krossa-32-5-shelving-unit-tall-walnut,https://cdn-images.article.com/products/SKU24862/2890x1500/image160005.jpg?fit=max&w=1200&q=100,
Article Krossa Shelving Unit with Storage Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",899,Living Room,https://www.article.com/product/19015/krossa-31-5-shelving-unit-with-storage-walnut,https://cdn-images.article.com/products/SKU19015/2890x1500/image219193.jpg?fit=max&w=1200&q=100,
Article Mysen Tall Bookcase Natural Oak,Storage,Article,"Scandinavian, Minimalist","Oak, Natural",699,Living Room,https://www.article.com/product/24238/mysen-34-bookcase-tall-natural-oak,https://cdn-images.article.com/products/SKU24238/2890x1500/image163803.jpg?fit=max&w=1200&q=100,
Article Mysen Tall Bookcase Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",699,Living Room,https://www.article.com/product/24239/mysen-34-bookcase-tall-walnut,https://cdn-images.article.com/products/SKU24239/2890x1500/image148182.jpg?fit=max&w=1200&q=100,
Article Mysen 64 Bookcase Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",599,Living Room,https://article.com/product/21762/mysen-64-bookcase-walnut,https://cdn-images.article.com/products/SKU16971/2890x1500/image123530.jpg?fit=max&w=1200&q=100,
Article Torme Tall Open Bookcase White Oak,Storage,Article,"Scandinavian, Minimalist","White Oak, Natural",899,Living Room,https://www.article.com/product/24473/torme-48-bookcase-tall-white-oak,https://cdn-images.article.com/products/SKU24473/2890x1500/image160542.jpg?fit=max&w=1200&q=100,
Article Harles Shelving Unit with Storage Walnut,Storage,Article,"Mid-Century, Modern","Walnut, Brown",599,Living Room,https://www.article.com/product/19964/harles-29-5-shelving-unit-with-storage-walnut,https://cdn-images.article.com/products/SKU19964/2890x1500/image118615.jpg?fit=max&w=1200&q=100,
Article Burrard Seasalt Gray Ottoman,Storage,Article,"Mid-Century, Scandinavian",Gray,499,Living Room,https://www.article.com/product/21199/burrard-29-ottoman-seasalt-gray,https://cdn-images.article.com/products/SKU12675/2890x1500/image123959.jpg?fit=max&w=1200&q=100,
Article Seno Walnut Dining Table for 6,Table,Article,"Mid-Century, Modern","Walnut, Brown",999,Dining Room,https://www.article.com/product/15176/seno-walnut-dining-table-for-6,https://cdn-images.article.com/products/SKU365/2890x1500/image174952.jpg?fit=max&w=1200&q=100,
Article Amoeba 35 Walnut Triangle Coffee Table,Table,Article,"Mid-Century, Modern","Walnut, Brown",499,Living Room,https://www.article.com/product/24199/amoeba-35-coffee-table-walnut,https://cdn-images.article.com/products/SKU388/2890x1500/image146124.jpg?fit=max&w=1200&q=100,
Article Amoeba 42 Walnut Triangle Coffee Table,Table,Article,"Mid-Century, Modern","Walnut, Brown",599,Living Room,https://www.article.com/product/24200/amoeba-42-5-coffee-table-walnut,https://cdn-images.article.com/products/SKU390/2890x1500/image124305.jpg?fit=max&w=1200&q=100,
Article Amoeba 35 Round Coffee Table Walnut,Table,Article,"Mid-Century, Modern","Walnut, Brown",499,Living Room,https://www.article.com/product/24202/amoeba-35-5-round-coffee-table-walnut,https://cdn-images.article.com/products/SKU359/2890x1500/image146308.jpg?fit=max&w=1200&q=100,
Article Cooper 51 Rectangular Coffee Table Oak,Table,Article,"Mid-Century, Modern","Oak, Natural",599,Living Room,https://www.article.com/product/29827/cooper-51-rectangular-coffee-table-natural-oak,https://cdn-images.article.com/products/SKU27090/2890x1500/image201904.jpg?fit=max&w=1200&q=100,
Article Cooper 51 Rectangular Coffee Table Walnut,Table,Article,"Mid-Century, Modern","Walnut, Brown",599,Living Room,https://www.article.com/product/29826/cooper-51-rectangular-coffee-table-walnut,https://cdn-images.article.com/products/SKU26899/2890x1500/image211090.jpg?fit=max&w=1200&q=100,
Article Cooper 35 Coffee Table Walnut,Table,Article,"Mid-Century, Modern","Walnut, Brown",449,Living Room,https://www.article.com/product/29828/cooper-35-5-coffee-table-walnut,https://cdn-images.article.com/products/SKU26898/2890x1500/image212716.jpg?fit=max&w=1200&q=100,
Article Harmon Checkerboard Side Table Walnut,Table,Article,"Mid-Century, Modern","Walnut, Brown",299,Living Room,https://www.article.com/product/24799/harmon-checkerboard-side-table-walnut,https://cdn-images.article.com/products/SKU24799/2890x1500/image150846.jpg?fit=max&w=1200&q=100,
Article Atra Outdoor Side Table Concrete,Table,Article,"Modern, Industrial","Concrete, Gray",249,Patio & Balcony,https://www.article.com/product/12539/atra-outdoor-side-table-concrete,https://cdn-images.article.com/products/SKU12539/2890x1500/image119911.jpg?fit=max&w=1200&q=100,
Article Atra Outdoor Coffee Table Concrete,Table,Article,"Modern, Industrial","Concrete, Gray",349,Patio & Balcony,https://www.article.com/product/12538/atra-32-outdoor-coffee-table-concrete,https://cdn-images.article.com/products/SKU12538/2890x1500/image119297.jpg?fit=max&w=1200&q=100,
Article Atra Outdoor Cafe Table Concrete,Table,Article,"Modern, Industrial","Concrete, Gray",499,Patio & Balcony,https://www.article.com/product/12430/atra-outdoor-cafe-table-concrete,https://cdn-images.article.com/products/SKU12430/2890x1500/image125967.jpg?fit=max&w=1200&q=100,
Article Nosh Bench Walnut Chalk Gray 51,Bench,Article,"Mid-Century, Modern","Gray, Walnut",349,Dining Room,https://www.article.com/product/20090/nosh-51-5-bench-walnut-and-chalk-gray,https://cdn-images.article.com/products/SKU20090/2890x1500/image123042.jpg?fit=max&w=1200&q=100,
Article Nosh Bench Walnut Quarry Gray 51,Bench,Article,"Mid-Century, Modern","Gray, Walnut",349,Dining Room,https://www.article.com/product/20091/nosh-51-5-bench-walnut-and-quarry-gray,https://cdn-images.article.com/products/SKU20091/2890x1500/image126205.jpg?fit=max&w=1200&q=100,
Article Lubek Outdoor Bench Byron Gray 84,Bench,Article,"Modern, Industrial",Gray,599,Patio & Balcony,https://article.com/product/18192/lubek-byron-gray-bench,https://cdn-images.article.com/products/SKU18192/2890x1500/image119081.jpg?fit=max&w=1200&q=100,
Article Sardis Outdoor Bench Vintage Brown 56,Bench,Article,"Modern, Industrial","Brown, Teak",499,Patio & Balcony,https://www.article.com/product/18968/sardis-56-outdoor-bench-vintage-brown,https://cdn-images.article.com/products/SKU18968/2890x1500/image120655.jpg?fit=max&w=1200&q=100,
Target Howell Upholstered Accent Chair Wood Base,Chair,Target,"Modern, Scandinavian","Cream, Natural",300,Living Room,https://www.target.com/p/howell-upholstered-accent-chair-with-wood-base-threshold-designed-with-studio-mcgee/-/A-81337808,https://target.scene7.com/is/image/Target/GUEST_07cfe85c-dbfc-4580-b5c1-62ef2cb4c72d,
Target Wing Arm Accent Chair Velvet Beige,Chair,Target,"Modern, Boho",Beige,350,Living Room,https://www.target.com/p/wing-arm-accent-chair-velvet-beige-threshold-designed-with-studio-mcgee/-/A-89089209,https://target.scene7.com/is/image/Target/GUEST_2f082398-1c36-4c70-946f-2ecfae1cbd26,
Target Vernon Upholstered Barrel Accent Chair,Chair,Target,"Modern, Boho","Cream, Natural",320,Living Room,https://www.target.com/p/vernon-upholstered-barrel-accent-chair-threshold-designed-with-studio-mcgee/-/A-83365994,https://target.scene7.com/is/image/Target/GUEST_902493ec-22a6-4030-8001-7f760f19974c,
Target Santa Monica Office Chair,Chair,Target,"Modern, Minimalist",Cream,300,Living Room,https://www.target.com/p/santa-monica-office-chair-threshold-designed-with-studio-mcgee/-/A-89441970,https://target.scene7.com/is/image/Target/GUEST_3cf94114-e8c0-4587-8319-51e82bcc27f1,
Target Santa Monica Office Chair Saddle Brown,Chair,Target,"Modern, Industrial","Brown, Saddle",300,Living Room,https://www.target.com/p/santa-monica-office-chair-sonoran-saddle-brown-threshold-8482-designed-with-studio-mcgee/-/A-89311412,https://target.scene7.com/is/image/Target/GUEST_964215f7-1792-4c66-845f-ea999bc1afce,
Target 68 Dosinia Bookshelf Brown,Storage,Target,"Modern, Scandinavian",Brown,300,Living Room,https://www.target.com/p/68-25-34-dosinia-bookshelf-brown-threshold-8482-designed-with-studio-mcgee/-/A-91251208,https://target.scene7.com/is/image/Target/GUEST_86a1edec-06da-4c8e-b486-245c7360eeed,
Target Sandpoint Bookcase with Drawers,Storage,Target,"Modern, Scandinavian","Natural, Brown",400,Living Room,https://www.target.com/p/sandpoint-bookcase-with-drawers-threshold-8482-designed-with-studio-mcgee/-/A-89529721,https://target.scene7.com/is/image/Target/GUEST_aa8dae67-b172-4247-b362-499800a73108,
Target Lynwood Square Upholstered Cube Cream,Storage,Target,"Modern, Minimalist","Cream, White",120,Living Room,https://www.target.com/p/lynwood-square-upholstered-cube-ottoman-threshold-designed-with-studio-mcgee/-/A-81264305,https://target.scene7.com/is/image/Target/GUEST_8254241f-db60-4648-b240-6b6386cde9ed,
Target Lynwood Square Cube Light Brown,Storage,Target,"Modern, Scandinavian",Light Brown,120,Living Room,https://www.target.com/p/lynwood-square-upholstered-cube-light-brown-threshold-8482-designed-with-studio-mcgee/-/A-88885043,https://target.scene7.com/is/image/Target/GUEST_75c1ecef-da9d-45bb-9534-2eaf04244476,
Target Lynwood Storage Bench,Bench,Target,"Modern, Scandinavian","Natural, Cream",250,Bedroom,https://www.target.com/p/lynwood-storage-bench-threshold-designed-with-studio-mcgee/-/A-90835704,https://target.scene7.com/is/image/Target/GUEST_eb0d5f50-b029-4f19-bb48-01ec73e1791e,
Christopher Knight Home Evelyn Mid Century Loveseat Dark Gray,Sofa,Amazon,"Mid-Century, Modern",Dark Gray,449.99,Living Room,https://www.amazon.com/Christopher-Knight-Home-52-75x31-5x32-68-Mid-Century/dp/B07F25GQ6X,https://m.media-amazon.com/images/I/A1W2foOzbBL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Modway Engage Mid-Century Upholstered Sofa Gray,Sofa,Amazon,"Mid-Century, Modern",Gray,799.99,Living Room,https://www.amazon.com/Modway-Engage-Mid-Century-Modern-Upholstered/dp/B00I52XI0Y,https://m.media-amazon.com/images/I/81P-0ZUZwLL._AC_SY300_SX300_QL70_FMwebp_.jpg,
HONBAY Convertible Sectional Sofa L-Shaped Dark Grey,Sofa,Amazon,"Modern, Minimalist",Dark Gray,399.99,Living Room,https://www.amazon.com/HONBAY-Convertible-Sectional-L-Shaped-Modern/dp/B07LBRDCTT,https://m.media-amazon.com/images/I/81Kl3F2JxqL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Serta Palisades 73 Track Arm Sofa Glacial Gray,Sofa,Amazon,"Modern, Minimalist",Gray,459.99,Living Room,https://www.amazon.com/Serta-Palisades-Collection-Sofa-Glacial/dp/B00SKRWLMU,https://m.media-amazon.com/images/I/81LKrEGzZWL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Novogratz Brittany Futon Sofa Bed Blue Linen,Sofa,Amazon,"Modern, Minimalist",Blue,269.99,Living Room,https://www.amazon.com/Novogratz-Brittany-Sofa-Futon-Linen/dp/B01LY1WBQN,https://m.media-amazon.com/images/I/61-YZAc9zeL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Walker Edison Georgetown Farmhouse TV Stand 58,Storage,Amazon,"Industrial, Modern","Brown, Barnwood",199.99,Living Room,https://www.amazon.com/WE-Furniture-Barn-Stand-Barnwood/dp/B01MU60Y44,https://m.media-amazon.com/images/I/71y11F3aqGL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Walker Edison Wren Classic TV Stand 58 Barnwood,Storage,Amazon,"Mid-Century, Modern","Acorn, Brown",229.99,Living Room,https://www.amazon.com/Walker-Edison-Stand-Console-Barnwood/dp/B017SPQ4K4,https://m.media-amazon.com/images/I/71fIM6tBmRL._AC_SY300_SX300_QL70_FMwebp_.jpg,
South Shore Step One Platform Bed with Storage Queen Black,Bed,Amazon,"Modern, Minimalist",Black,189.99,Bedroom,https://www.amazon.com/South-Shore-Basic-Platform-Drawers/dp/B01D9MVZCC,https://m.media-amazon.com/images/I/71bYPMcCylL._AC_SY300_SX300_QL70_FMwebp_.jpg,
